,text
1188,"Km tuh gimana? ambigu apa naif? bukankah km sebarisan dengan yg menolak RKUHP? Lalu apa hubungannya dengan tagar mundurNadim?

#NadimHajarRadikalismeDiSekolahhttps://twitter.com/Pejuang_Langit/status/1188968803901722629 …"
1189,"PENGAJIAN SELAPANAN PCNU KENDAL

Sabtu, 2 Nop 2019 Jam 9.00. Di Gedung NU Kdl.
Tema: BOLEHKAH SUAMI MEMPERKOSA ISTRI?: Perbandingan Antara Hukum Fiqih dan RKUHP, pasal: 479-480.
Pembicara: 
KH. Mohammad Danial Royyan.
Moderator:
Prof. Dr. H. Abdul Ghofur, http://M.Ag ."
1190,Gosah ikut2 ras... jaim dikit. Situ tokoh nasional isu rkuhp lo. Inget 
1191,Untung rkuhp terbitnya sekarang bukan dulu loh hahaha
1192,"@awkarin orang yg ikut mendukung tolak RKUHP krn banyak pasal karet dan ngawur, sekarang dia pake produk pasal karet UU ITE  buat meng-kriminalisasi orang. 

Oke sip"
1193,"https://metro.tempo.co/amp/1265788/prabowo-subianto-jadi-menhan-bem-ui-cebong-dan-kampret-ditipu#click=https://t.co/bfjWmKUFSJ …
Pemerintah, lanjut dia, justru tak melibatkan warga misalnya dalam pembahasan Rancangan Kitab Undang-undang Hukum Pidana (RKUHP).

Loh, RUU KPK N KUHP kan terbit sblm pak PS diresmikan menjabat jadi MENHAN, kok nama nya dibawa2.. ?"
1194,"Aku punya Gracia Full Versiong.
Tapi kalo dishare bisa kena RKUHP."
1195,"Tarik Ulur Pembahasan RKUHP, Tunggu Penetapan Anggota Komisi III https://pinang.batampos.co.id/2019/10/29/tarik-ulur-pembahasan-rkuhp-tunggu-penetapan-anggota-komisi-iii/ …pic.twitter.com/HIjvv2ppug"
1196,"hahahaaha... Lu tanya tuh menkumham, Knp lu tanya ke KPK. Lu cek juga knp di rancangan RKUHP yg Baru Koruptor malah diperingan hukumannya. hadeeh apa2 ko nyalahin KPK"
1197,ada apa bang fahri dengan warna biru. pas rame RKUHP sama KPK keliatan pake aple watch warna biru sama pake gelang biru. pas bareng sama om dedi kemarin di youtube masih pake gelang warna biru pula.
1198,Kata siapa yan? RKUHP kan batal disahkan. Tergantung nyali sama substansinya kl menurut aku. https://twitter.com/DaengRyan/status/1189062286071087104 …
1199,Baru ngeh masalah RKUHP kemaren setelah dengerin Diskusi Fahri hamzah sama om Deddy Corbuzier
1200,"Kemaren pas lagi awal2nya demo rkuhp dkk rektorat kampus gw udh langsung “memastikan” pakai surat edaran, bahwa rektorat tidak bertanggungjawab sama aksi mahasiswa. Kocak aja si "
1201,"Abis nnton podcast @Fahrihamzah x dedi corbuzier, mikir keras w.
Banyak salah faham nya ternyata masalah demo mahasiswa sama rkuhp."
1202,"ini sebabnya barisan pendukung khilafah terus menolak RKUHP, Waspada provokasi HTI
#RadikalKepanasanpic.twitter.com/SuMkIzzyAp"
1203,Apa ini ada hubungannya dg banyaknya kaum muda yang demo RKUHP kemarin?
1204,"ini sebabnya barisan pendukung khilafah terus menolak RKUHP, Waspada provokasi HTI
#RadikalKepanasanpic.twitter.com/HRXozKLYqS"
1205,Sumpah yah kayaknya perlu ada rkuhp yg memidana orang yg parkir motor nya parallel tapi di kunci stang. Kayaknya mesti di pidana minimal 5 tahun deh
1206,RKUHP PER-RP-AN? HAH?
1207,"1) Soal UU KPK, Jokowi sendiri yang mempertimbangkan untuk keluarkan Perppu. Jadi Perppu itu juga saluran. Makanya wajar jika dituntut terus.

2) Soal RKUHP, ditunda karena didemo. Dan hingga sekarang belum ada jadual pembahasan ulang.

Ulang terooosss sampai kiamat."
1208,Mana beritanya? Lagian yg demo kmrn ngmgin perppu kok nyasar kr rkuhp lg?
1209,Kalau untuk RKUHP sudah di tunda dan akan di bahas lagi dgn melibatkan akademisi ....AKADEMISI YA BUKAN YG DEMO DI JALANAN
1210,"Ini kenapa RKUHP banyak yg tolak, krn pasti yg bakalan jadi inceran utama itu, rakyat miskin kota. Buat penegak hukum dan pembuat hukum, mereka autoimun."
1211,Yang bahas ruu rkuhp bukannya dpr ya? Kok...?
1212,"Kok salah satu tuntutannya sahkan ruu p-ks. Padahal kan yg saya tau ruu p-ks malah melegalkan LGBT dan perzinahan... Bertentangan dengan RKUHP yg di dalamnya malah melarang perzinahan dan LGBT.
Yg ditakutin orang2 liberal adalah RKUHP dan mendukung RUU P-KS
Maaf kalo salah..."
1213,"Terima kasih mengingatkan wan-kawan...

Namun saat waktunya tepat, aku akan mengutarakan pendapat dan posisiku, yang jelas bukan sekarang karena aku tidak akan memecah konsentrasi kawan-kawan yang fokus dengan RKUHP,  KPK, dlsb.

Namun tetap, posisiku tak ikut serta."
1214,"Uda diblg yg dibahas bukan RKUHP, tp Perppu, masih diulangggggggggggggg aja terus  "
1215,"Lhabya memang siapa yang bilang sudah disahkan. Ya ampuuun.... Baca kalimat sederhana aja gak sanggup 

Sudah dibilang berkali-kali, RKUHP dibatalkan pengesahannya karena didemo. Namun masih banyak yang ngotot mengesahkan sehingga harus dijagain sampai paripurna terakhir."
1216,"Anggota DPR masih ngotot mengesahkan RKUHP, makanya dijagain sama Mahasiswa hingga paripurna terakhir. Ngerti ?!

https://m.cnnindonesia.com/nasional/20190926180410-32-434390/anggota-fraksi-pks-ingin-rkuhp-disahkan-dpr-periode-ini …"
1217,Yang bilang RKUHP disahkan itu siapa? Hahahahaa
1218,Kamu bisa kasih bukti kalau RKUHP di sah kan ? Manusia satu ini berbahaya bagi bangsa ini dgn pernyataan provokatif
1219,"Yang demo hari ini soal Perppu KPK, kok ngomongin RKUHP?"
1220,Yg seperti gansing kalian jelas RKUHP SUDAH DI TANGUHKAN DAN AKAN DI BAHAS ULANG jelas ya ngak usah cari pembenaran lagi
1221,"Heuheuheu, kok kaget? Gak dapat jatah? Kami orang yang peduli dengan isu RKUHP, RUU PKS, UU KPK, gak ada agenda lain"
1222,"RKUHP memang harus dicurigai karena memang isinya memberangus kebebasan dan hak warga.

Jokowi sendiri yang mewacanakan Perppu.

Udah ya jangan diulang-ulang lagi. Muter mulu kayak gasing."
1223,"Kecurigaan terus menerus tentang RKUHP aku rasa ngak masuk akal lagi saat ini

Untuk uu KPK bukan satu satunya jalan perpu masih ada MK dan bukankah sudah di daftarkan ?
Jadi alasan apa lagi demo
Untuk bolos ngak ikut materi kuliah ?"
1224,"Demonya jadi random gini tema-nya, dulu RKUHP + RUU KPK sama RUU agraria kalo ga salah, skrg semua RUU + demo bareng buruh yg demonya cuma pengen penghasilan dan kerja layak, malah suruh ikutan demo RUU macem2."
1225,"Sudah lah, jangan bawa-bawa senioritas. Kami bukan anak kamu. Dan berhenti lah giring opini seakan-akan pendemo ingin negara hancur. Apa dengan memaksakan pengesahan RKUHP yang tidak disosialisasikan ke masyarakat bukan pemaksaan kehendak lewat hukum?"
1226,Kapan ada pernyataan RKUHP akan di sahkan lagi ...jgn ngarang ah
1227,"Kalau DPR ikut regulasi, ngapain kami demo. Mereka membuat RKUHP diam-diam di luar gedung DPR, di hotel mewah, tanpa sosialisasi, dan pengesahan terburu-buru menjelang akhir masa jabatan. Terus kamu minta kami ikut regulasi? Are you fucking kidding me right now?"
1228,"Soal RKUHP, mahasiswa memastikan hingga paripurna terakhir tidak ada pengesahan diam2.

Soal Perppu KPK, itu wacana Pak Pres. Wajar dituntut lagi."
1229,"Kalau bisa gak bikin kerusakan juga maunya gitu. Apa kamu gak lihat kalau polisi lah yang duluan menembakkan water cannon, bukan mahasiswa yg mulai? Kamu gak tau apa-apa tapi nuduh mahasiswa yg provokasi. RKUHP cuma ditunda, itu udah berkali-kali, tapi diam2 mau disahkan lagi"
1230,"Kebalik Om.... Justru RKUHP itu ditunda setelah ada demo.

Demo hari ini untuk menuntut Perppu KPK."
1231,Loe mau ngomong apa ke DPR .. RKUHP sudah di tunda dan di kaji ulang ...terus mau apa lagi ?
1232,Harga tidak harus membuat kerusakan kalau kalian bisa berlaku lebih baik kami masyarakat ngak akan protes tapi kelakuan kalian merugikan kami yg di dunia usaha ... Sudah sangat panjang arogansi kalian ..nemaksakan kehendak RKUHP jelas sudah di tunda
1233,Kalau RKUHP disahkan bakal lain ceritanya https://twitter.com/detikcom/status/1188796628934807553 …
1234,"ORBA banget sih ini. Yang gak sesuai dengan pendapatnya semua mau dibungkam. Selaras dengan apa yang dilakukan pemerintah saat ini, pembubaran diskusi, razia buku, sensor internet, UU ITE, Pasal Penghinaan Agama, RKUHP tentang Pasal Penghinaan Presiden. Semua anti demokrasi."
1235,"Dr rangkuman kau sangat ketara kalo kau gx paham apa yg kau tuntut @JL_Apatheia 
Kau rumuskan RKUHP tanpa menyertakan buku 1 dan buku 2.
Hukum kau terjemahkan sekendak otakmu. 
Dasar demo2 partisan lu"
1236,"Lho yg bener yg mana sih calonnya. Masnya bilang yg di bogor nih 

Tanpa terbang aja udah sadar kalo delusi  ya udah lah ya dinikmati aja sebelum masuk pasal rkuhp wkwk"
1237,"MK itu kalau sudah disahkan. Dan apa km tau proses pengadilan itu bs berapa lama? Dan selama RKUHP itu disahkan, ada berapa banyak korban yg akan jatuh? Apa pernah kamu pertimbangkan hal itu?"
1238,Sebenarnya kalian itu  Provokator yg mengatasnamakan rakyat ....lha kami ngak merasa mewakilkan ke kamu kok ngak tau malu..aku ngak tau kamu bagian yg mana ? Karena Rkuhp jelas sudah di tunda dan akan di bahas lagi ...terus alasan apa lagi ?
1239,"Gini deh, kalau emg km ada ide yg lebih baik, coba sebutin aja caranya. Lagian apapun yg dia lakukan nantinya itu gak penting, yg penting adalah isu yg diangkat itu, yaitu RKUHP tidak disahkan dan pengesahan RUU PKS"
1240,Ditambah di RKUHP gak boleh ateis pula. wkwk
1241,"Ngapain demo lagi ? RKUHP dibatalkan
#SumpahPemudaJagaNKRIpic.twitter.com/EEWEGaPPWO"
1242,"Kenapa setelah pelantikan presiden & para mentri semua kerusuhan (RUU KPK, RKUHP, & konflik Papua) kemarin seolah-olah selesai tanpa ada ending yg jelas?"
1243,Sekarang gua tau kenapa Jokowi nunda RKUHP. Ternyata di isinya belum ada yg mengatur ini. DUKUNG!
1244,Sidang pengesahan RKUHP? pic.twitter.com/TxygnEw1Fx
1245,Hati-hati nanti kalau RKUHP sah 
1246,"Yang lain sudah tidak tampan, mageran, jarang olahraga, nganggur, surplus tidap mengerti isi tuntutan RKUHP.

Ya Shani males jadinya."
1247,Apa pemkot memberi ayam kepada pelajar adalah konspirasi RKUHP wooowww
1248,"Ini yg kemaren di ILC sok mengkritisi RKUHP tapi ternyata baca aja belum RUU nya, cuman sebatas tau dr media udah merasa pakar hukum..."
1249,"Saya juga tidak setuju RKUHP disahkan skrng. Tapi kalau kamu teriak #tolakrkuhp itu namanya naif. Pelajari dulu, jangan asal omong.

""Usulan pencabutan RKUHP justru kontradiktif bagi cita-cita pembaharuan hukum pidana nasional."" #userstoryhttps://kumparan.com/richard-sianturi/mendudukkan-perdebatan-rkuhp-rekodifikasi-sampai-living-law-1s4YUoNu3U1 …"
1250,yang gembosin KPK dan bikin RKUHP nyeleneh itu?
1251,Ribet apalagi kalo rkuhp disahkan
1252,Apa kamu dampaknya ke kehidupan mu jika saat itu mahasiswa tidak demo dan RKUHP benar jadi disahkan? Atau kamu cuma tau dampaknya aja?
1253,"Pas Karin bikin kegiatan sosial dipujaaaaa
Pas Karin langgar hak cipta dihujaaaaaat
Pas Fathur demo RKUHP dipujaaaaa
Pas Fathur ga pro LGBT dihujaaaaat

Yagini nih kelakuan warganet, paling bener udah wkwk."
1254,"Belum lagi pembubaran acara diskusi, razia buku, sensor internet, pasal-pasal karet seperti UU ITE, Pasal Penistaan Agama, UU MD3. Dan yang kedepannya RKUHP yang juga berisi Pasal Penghinaan Presiden. Demokrasi kita dalam bahaya "
1255,"RUU KPK dikebut 12 hari, RKUHP mau rampas urusan pribadi, RUU Pertanian bikin resah petani. Bikin aturan seenak jidat tanpa ngundang rakyat. Lusa kita diskusi soal peran kita dlm pembentukan regulasi, supaya tidak ada lagi #ReformasiDikorupsi https://twitter.com/PSHKIndonesia/status/1188727410323120133 …"
1256,"Waktu Di ILC, dia Kritik RKUHP tp ga baca draftnya sampe disemprot Prof. Tuti dari Hukum UI nya sendiri.

Dasar ga punya malu kalo Masih berani kaya gini. https://twitter.com/kompascom/status/1188759574783787008 …"
1257,PMIB Dukung Keputusan Pemerintah Soal Revisi UU KPK dan RKUHP http://www.beritahukum.com/detail_berita.php?judul=PMIB+Dukung+Keputusan+Pemerintah+Soal+Revisi+UU+KPK+dan+RKUHP&subjudul=KPK …
1258,"Buat apa demo? RKUHP sudah dibatalkan, tuntutan buruh sudah dipenuhi #NgapainDemopic.twitter.com/pWX6jobXgG"
1259,RKUHP sudah dibatalkan #NgapainDemo ?pic.twitter.com/JPYAqZlmrF
1260,"RKUHP sudah dibatalkan, terus #NgapainDemo lagi?pic.twitter.com/sC1SMZroZq"
1261,"RKUHP sudah dibatalkan, terus #NgapainDemo ?pic.twitter.com/HNf14zah0G"
1262,"https://nusantaratv.com/politik/pmib-dukung-keputusan-pemerintah-soal-uu-kpk-dan-rkuhp …

PMIB Dukung Keputusan Pemerintah Soal UU KPK dan RKUHP"
1263,"Sebenernya masih masuk, bagus, dan menarik tapi bakal jadi sensitif banget kalo riset dan pengetahuannya gak mendalam

Daripada itu mending bucarain RKUHP atau Karhutla atau Climate change?"
1264,Takut masuk angin? Minum tolak RKUHP!! 
1265,"Hari Sumpah Pemuda, Mahasiswa Indonesia di Jerman Soroti RKUHP http://detik.id/6guGkP "
1266,HMI STIM LPI Makassar Turut Gelar Aksi Tolak revisi UU KPK dan RKUHP https://wali-news.com/berita/hmi-stim-lpi-makassar-turut-gelar-aksi-tolak-revisi-uu-kpk-dan-rkuhp/ …pic.twitter.com/Jpt6Qr6VsL
1267,"Anjir bagus nih
Tp blm bisa bikin gua paham RKUHP
https://youtu.be/pi1R0wm8FV8 "
1268,"Mulai dari IDR 0.00,- untuk menyaksikan e-learning pengantar RKUHP berikut ini!
>> http://bit.ly/pengantarrkuhp 
.
#connectingknowledge #pengantarrkuhp #rkuhp #hukumpidana #icjrlearninghub
.
Jangan lupa follow @idlearninghubpic.twitter.com/vy3qSuwnLa"
1269,Gokil dirayain seluruh pemuda indo pra dan post kemerdekaaan  hepi besdeeee semoga ga lelah-lelah ngadepin netijen pendukung RKUHP bang @erasmus70
1270,Luangkan waktu 8 menit-an yuk untuk pelan-pelan membaca ini. Saya belajar hal baru dari artikel ini: dari sisi hukum pun (bbrp pasal) RKUHP masih belum siap karena bisa bertentangan dgn praktik hukum adat dn ketidakjelasan (aktor) penegak hukum. Selengkapnya: https://twitter.com/indoprogress/status/1188599238034362369 …
1271,"Ini dah ketika ranah privat malah diungkit, sama aja kyk RKUHP kmaren ketika ngeue bisa dipidana haha  emng udh budaya ya mncampuri ranah privat org lain?"
1272,"Tapi lumayan lama sih kalo nunggu sampe proses pengadilan. Harus ttep lewatin proses penyidikan yg agak lama, begitupun proses penuntutannya. Kecuali tipiring (kyk nyuri hp) bisa langsung vonis di hari H itu jg. Aku masih pro ke sistem restorative justice, bukan pengesahan RKUHP"
1273,Tapi kalo tolak RKUHP mah gapapa lah ya soalnya masih politik cetek ranah aman kan ya kak? pic.twitter.com/hqGL3xd6eD
1274,"Tenang aja sodara"" semua. Serahkan semua pada mekanisme hukum RKUHP yg baru okey "
1275,"Mungkin beberapa artikel ini bisa sedikit mewakili, Mas.

https://www.merdeka.com/politik/psi-tolak-pengesahan-rkuhp-membunuh-kebhinekaan.html …

Ada juga kutipan dari @rianernesto soal RKUHP
https://www.beritasatu.com/nasional/575875/tolak-rkuhp-psi-pasal-makar-bisa-berangus-demokrasi …"
1276,"makanya sahkan RKUHP, di sana ada konsep baru bernama rechterlijk pardoon (pemaafan hakim) — jadi kalo ga penting penting amat ya ngapain dipidana penjara pic.twitter.com/1GorkWTIvB"
1277,Iya dia gak tega liat suaminya kalo kena pasal RKUHP baru yg 12 tahun 
1278,Agama ngurusin tapi kalo udah bawa2 ke aturan negara ya gak bisa karena sudah ada RKUHP (yang mana ada batasannya).
1279,Kenapa kau tolak RKUHP?
1280,"Tapi gak sedikit juga kok yang grabak-grubuk RKUHP pas tau kalau frisek bisa dipidananin.

(RKUHP udah diramein dari 2016, btw)."
1281,"Loh gua terakhir pulang gara2 debat sama bokap soal rkuhp, jangan2 dia mikirnya gua lama ga pulang gara2 itu..."
1282,"pasca pilkada jakarta, dah susah ketawa sama jokesnya Political Jokes

pasca demo RKUHP, dah susah ketawa sama jokesnya Tretan Muslim

ternyata hanya karena anda pelawak, tidak menjamin anda bisa ngelucu di semua isu"
1283,"Yang gua liat di media banyak demo masa di luar negri menyuarakan kebebasan berpendapat setelah kejadian demo tolak rkuhp. Iyaa ga sih, mulai dr hongkong, sampai pd saat ini santiago."
1284,Tolak RKUHP tapi yang dibawa-bawa ngancem orang sama-sama pasal karet.
1285,"Ini kalo seandainya apabila semisal RKUHP jadi dan sah, kelar idup sipil bernegara lu wi 
Ya rahasia semesta aja ya gua apakah gua klik dan atau gua liat dan atau mungkin gua dengarkan dan atau mungkin juga gua replay dan atau mungkin juga saja gua download utl offline"
1286,Rumusan RKUHP tak sesuai dengan prinsip perlindungan hak asasi manusia #ValidVisi #ValidNihhttps://www.validnews.id/Menkumham-Diminta-Bahas-Ulang-RKUHP-XTD …
1287,"“Wah, sombong yah sekarang”

Hei! Sombongku perlu modal latian tiap hari waktu situ enak enak, ngebucin, melanggar perintah agama dan orang tua, tidak setuju sama RKUHP. Kalo anda?"
1288,Gimana caranya kamu menolak RKUHP dan mau membantu kemanusiaan tanpa ikut ke ranah politik ;-; https://twitter.com/awkarin/status/1187997127407878146 …
1289,nyem @.pasal karet rkuhp ttg penghinaan presiden https://twitter.com/pmiscove/status/1187819867379863552 …
1290," Gimana pendapat kamu tentang RKUHP?
 Saya ga setuju soal pasal tentang fucboi bang.
 ???
 Itu lho yang anak nakal, tatoan.
 Anak punk maksud kamu?
 Iya itu ehe.

Cerita interview hari ini."
1291,"Nahhhh.
Itu.
Semoga RKUHP yg revisi kemarin tidak disahkan."
1292,"Refleksi 4 tahun Pembahasan RKUHP: Periode Baru, Semangat Baru Pembahasan RKUHP http://Bahasan.ID  https://bahasan.id/maidina/refleksi-4-tahun-pembahasan-rkuhp-periode-baru-semangat-baru-pembahasan-rkuhp/ …"
1293,Agnostik kan tida percaya adanya tuhan kl di rkuhp tentang membubarkan keagamaan. Hmm ruwet deh
1294,cepetan ngakak selagi blm ada di RKUHP
1295,pasal berapa dalam rkuhp? serius nanya
1296,"Hati-hati, mba. Bilang agnostik di tempat Umum sekarang bisa dipenjara kalau RKUHP yg baru disahkan. Awokawokawok "
1297,"Hanya saja, tuduhan adanya upaya “islamisasi” dalam RKUHP, khususnya pada persoalan susila, tidaklah cukup dengan penjelasan sebelumnya. https://buff.ly/33XCTeX "
1298,"Hanya saja, tuduhan adanya upaya “islamisasi” dalam RKUHP, khususnya pada persoalan susila, tidaklah cukup dengan penjelasan sebelumnya. https://buff.ly/31KTzoz "
1299,"Hanya saja, tuduhan adanya upaya “islamisasi” dalam RKUHP, khususnya pada persoalan susila, tidaklah cukup dengan penjelasan sebelumnya. http://bit.ly/2Wbofy1 "
1300,Bagaimana bisa kamu menolak RKUHP dan apolitis aku tambah bingung lagi
1301,"Hanya saja, tuduhan adanya upaya “islamisasi” dalam RKUHP, khususnya pada persoalan susila, tidaklah cukup dengan penjelasan sebelumnya. http://bit.ly/366Vx5J "
1302,"Udah panas diluar, panas didalam juga debatin RKUHP. Hayam teh pic.twitter.com/Yp279t9VbG"
1303,ahhhh bohong hoax uu ite uu rkuhp @KementerianLHK
1304,"New post: UU Perfilman Terburu-buru Disahkan, Nia Dinata: Kita Terlalu Sibuk dengan RKUHP dan KPK https://jualartis.com/uu-perfilman-terburu-buru-disahkan-nia-dinata-kita-terlalu-sibuk-dengan-rkuhp-dan-kpk/ …"
1305,"Pertubiran RKUHP di ruangan Departemen Adat pd Januari 2018 itu diawali satu pertanyaan  ""Yang kamu bayangkan soal the living law pada pasal itu apa?"", tanya Bli Tody. Kurang lebih saya dan teman2 tubir lain menjawab persis spt yg ribut2 belakangan. Walau kemudian sedikit keliru"
1306,"Presiden Alam Gaib Datang, Pasal Santet RKUHP Terang Benderang https://www.kompasiana.com/ahmadtamami/5db3a800097f367b723e2d52/presiden-alam-gaib-datang-pasal-santet-rkuhp-terang-benderang …"
1307,"Pemerintah akan meneliti dan mengkompilasi hukum adat tersebut pasca RKUHP disahkan dalam masa transisi pemberlakuan KUHP baru, bukankah yang ideal teliti terlebih dahulu baru disahkan?
Simak #bahasan selengkapnya di
>> http://bit.ly/rekfleksirkuhp 
.
Jangan lupa follow @idlearninghubpic.twitter.com/8avDteXI6Q"
1308,ruu pks mesti nunggu rkuhp dulu karena dalihnya rkuhp generalis. sedangkan uu kpk bisa disahkan ndak perlu nunggu rkuhp jadi maunya apa https://twitter.com/TirtoID/status/1187617284803780609 …
1309,dari akun yang sama kemaren bela belain RKUHP.... :'))))
1310,busetd itu mau nginep apa mau demo rkuhp sik 
1311,"Soal korban, itu karna demo soal RKUHP dan RUU KPK. Yg di demo kan pemerintah, Ga ada hubungannya sama Pak Prabowo."
1312,"Gimana mau ngaku salah, kalau cowonya boong terus. Anjer, berasa debat rkuhp gw"
1313,"UU Perfilman Terburu-buru Disahkan, Nia Dinata: Kita Terlalu Sibuk dengan RKUHP dan KPK http://akurat.co/hiburan/id-828477-read-uu-perfilman-terburuburu-disahkan-nia-dinata-kita-terlalu-sibuk-dengan-rkuhp-dan-kpk …"
1314,Gpp ih halu belum di larang rkuhp wkkwkw
1315,"Ga mau, kasihan aku klo kena rkuhp karena ganggu tetangga wkwk"
1316,Saya kira dia tidak dibantu dengan konten-konten visual bukan tulisan yang ada dalam diri dengan konten-konten visual bukan hanya itu yang RKUHP dan Lala hanya itu yang kartun lucu dia terlalu capek dan Lala Karmela kamu gak nyaman untuk digunakan dalam diri manusia terdapat
1317,"Globalisasi : anak2 yg kecanduan gadget sampai diterapi
Hukum: yg rkuhp itu deh"
1318,RKUHP dan Revisi UU KPK turut menjadi sorotan utama https://sulsel.idntimes.com/news/indonesia/ahmad-hidayat-alsair/soroti-penegakan-ham-kontras-sulawesi-anggap-jokowi-belum-memuaskan?utm_source=twitter&utm_medium=auto&utm_campaign=auto …
1319,RKUHP dan Revisi UU KPK turut menjadi sorotan utama https://sulsel.idntimes.com/news/indonesia/ahmad-hidayat-alsair/soroti-penegakan-ham-kontras-sulawesi-anggap-jokowi-belum-memuaskan?utm_source=facebook&utm_medium=auto&utm_campaign=auto …
1320,"ngebahas tentang RKUHP....
masa iya sih gelandangan yang menggagu ketertiban umum dapet denda 1 jt...
ya namanya gelandangan udh pasti ga punya kerja dan ga punya uang....

kok miris ya bacanya...
kasian,udh ga punya pekerjaan dan uang, masih aja di denda"
1321,Hahaha omgg perlu rkuhp mengenai wine dan soju
1322,"@haris_azhar kalau kami mau mengundang anda untuk seminar tentang RKUHP yang bersanding dengan prof barda, bisa menghubungi siapa ya?"
1323,"[ KAJIAN MCS EDISI OKTOBER 2019 ]

' BUKU KESATU RKUHP : PANDANGAN HUKUM PIDANA MODERN DAN PERBANDINGAN DENGAN KUHP '

Keberadaan RKUHP bertujuan untuk melengkapi poin-poin yang tidak ada pada KUHP. pic.twitter.com/EEa8dBJxfu"
1324,"Kasus kematian dua mahasiswa Universitas Halu Oleo (UHO) dalam aksi unjuk rasa penolakan UU KPK dan RKUHP di Kantor DPRD Sultra, beberapa waktu lalu, masih menjadi fokus pihak kepolisian. https://www.elshinta.com/news/190994/2019/10/25/bem-uho-minta-polri-selesaikan-kasus-kematian-mahasiwa-di-kendari …"
1325,"Kasus kematian dua mahasiswa Universitas Halu Oleo (UHO) dalam aksi unjuk rasa penolakan UU KPK dan RKUHP di Kantor DPRD Sultra, beberapa waktu lalu, masih menjadi fokus pihak kepolisian. https://elshinta.com/news/190994/2019/10/25/bem-uho-minta-polri-selesaikan-kasus-kematian-mahasiwa-di-kendari …"
1326,"RKUHP itu undang-undang yang memusuhi rakyatnya sendiri.

Undang-undang gemblung. https://twitter.com/OPINI_id/status/1167363913974894592 …"
1327,"Brengsek, makin absurd aja nih RKUHP!!!! https://twitter.com/ICJRid/status/1167374914040545281 …"
1328,prof. moeljatno akan menangos melihat rkuhp ini... https://twitter.com/erasmus70/status/1167236848311140352 …
1329,"Oke, jadi RKUHP seks bebas deliknya laporan. Yg boleh lapor cuma orang tua, pasangan resmi, dan anak. Nah yg jadi masalah, kalo misal ortunya ngelapor nih. Yg dipenjara yg mana? Kan sama-sama mau?
Ortu lawan pun bisa ngelapor balik. Sama-sama dipenjara dong dua duanya wtf =="
1330,"Taun lalu, februari 2018, pertanyaan yg sama dgn ICJR kita lontarkan dlm sebuah diskusi di ruangan dep. Adat. Tp entah kenapa aku ngerasa kurang sedap baca ilustrasi dan bahasan twit ICJR soal the living law dlm RKUHP.. entah.."
1331,Whaiiiiii.... RKUHP is full of joke... whaiiiii
1332,"Kalo aku ngga salah, rkuhp ini udah deal di buku 1 2 sampe berapa gitu, memang tinggal sah sahnya saja sih"
1333,#Delik Agama Masih Jadi Momok Demokrasi dalam RKUHP | Politics - Gatra https://ift.tt/32dBqQK  #Demokrasi #Indonesia
1334,"Perzinaan dilarang; apakah perkawinan sesama jenis kemudian diperbolehkan, agar tdk terjadi perzinaan???

PKS Ingin RKUHP Tegas Menghukum Perzinaan Sesama Jenis https://nasional.kompas.com/read/2019/08/30/18035271/pks-ingin-rkuhp-tegas-menghukum-perzinaan-sesama-jenis?utm_source=Twitter&utm_medium=Refferal&utm_campaign=Sticky_Dekstop …"
1335,"Setelah rkuhp dn pornhub,
ditutup dengan

https://m.kumparan.com/amp/@kumparannews/disertasi-dosen-iain-solo-ada-celah-seks-di-luar-nikah-halal-1rlBC00OM0u …
credit : nabila dn farah

Lahan smakin basah"
1336,"Papua, RKUHP, Ibukota pindah 
Mencoba untuk tidak ambil pusing terhadap semua isu itu, tapi tidak bisa "
1337,"Kalo pasal 278 RKUHP udah sah diundangkan:

: Kenapa sih bisa di masuk penjara gini?
: Gara-gara unggas aku jalan jalan ke kebun orang lain

:((("
1338,2 years of being a law student rn and seeing RKUHP......am I a fucking joke to you? I did not shove my ass to get good grades in all pidana classes just to see this dang it this is 2019 not 1440 come fucking on dudeeee
1339,"pornhub
rkuhp

...
*gua mau tdur aja*
hepi wiken!!!"
1340,anying abis baca draft rkuhp fak gamasuk akal semua gilak
1341,"Ketua DPR yakin RKUHP rampung di era kepemimpinannya. 
#vertanews #vertaupdate #DPR #RKUHP
http://www.vertanews.id/homepage/read/12338 …"
1342,"Rumusan RKUHP Masih Jauh dari Harapan 
https://www.validnews.id/Rumusan-RKUHP-Masih-Jauh-dari-Harapan-trP …
#ValidNih"
1343,RKUHP is full of joke.
1344,"ini bukannya RKUHP Pasal 480 ayat (3) bagian tindakan kekerasan seksual ya? Jadi bukan consent dua belah pihak tapi dalam konteks ""pemerkosaan"""
1345,#Delik Agama Masih Jadi Momok Demokrasi dalam RKUHP | Politics - Gatra https://ift.tt/2MEuOXZ  #Demokrasi #Indonesia
1346,"RKUHP itu undang-undang yang memusuhi rakyatnya sendiri.

Undang-undang gemblung. https://twitter.com/OPINI_id/status/1167363913974894592 …"
1347,"Brengsek, makin absurd aja nih RKUHP!!!! https://twitter.com/ICJRid/status/1167374914040545281 …"
1348,prof. moeljatno akan menangos melihat rkuhp ini... https://twitter.com/erasmus70/status/1167236848311140352 …
